model,V_channel_m_s,Hf_mm,b_mm,L_mm,W_mm,tf_mm,number_of_fins,number_of_channels,used_width_mm,Dh_mm,flow_area_m2,fin_side_area_m2,base_exposed_area_m2,total_geometric_area_m2,volumetric_flow_CFM,volumetric_flow_m3_h,m_dot_kg_s,C_air_W_K,Re_Dh,Re_note,Re_b,Re_star,Nu,h_W_m2K,eta_fin,A_eff_m2,hA_eff_W_K,NTU,epsilon,R_TIM_K_W,R_spreading_contact_base_K_W,R_hs_K_W,R_total_K_W,T_chip_C,thermal_margin_C,T_air_out_chip_C,T_air_out_full_board_C,deltaT_air_chip_K,deltaT_air_full_board_K,dynamic_pressure_Pa,pressure_drop_channel_Pa_approx,status
teertstra,2,30,5,120,80.0,1.0,13,12,73.0,8.571428571428571,0.0018,0.0936,0.0072,0.1008,7.627968,12.959999999999999,0.0042623999999999995,4.2922367999999995,1097.142857142857,Laminar indicator,640.0,26.666666666666668,3.8974441780072553,20.500556376318162,0.9368391331898774,0.09488814286657253,1.9452597222803023,0.4532041946707839,0.3644116633762138,0.01646090534979424,0.03,0.6393284894972611,0.6857893948470553,196.44734871176382,-111.44734871176382,83.24468957537479,99.55320265647973,58.24468957537479,74.55320265647973,2.368,2.9007999999999994,FAIL
teertstra,2,30,5,150,80.0,1.0,13,12,73.0,8.571428571428571,0.0018,0.11699999999999999,0.009,0.126,7.627968,12.959999999999999,0.0042623999999999995,4.2922367999999995,1097.142857142857,Laminar indicator,640.0,21.333333333333336,3.529199686126092,18.563590349023244,0.9423950351465621,0.11926021911214775,2.2138978525326634,0.5157911726894153,0.402971944579431,0.01646090534979424,0.03,0.5781513116121562,0.6246122169619504,181.1530542404876,-96.15305424048759,83.24468957537479,99.55320265647973,58.24468957537479,74.55320265647973,2.368,3.6260000000000003,FAIL
teertstra,2,35,2,80,80.0,1.0,26,25,76.00000000000001,3.7837837837837838,0.0017500000000000003,0.1456,0.004,0.1496,7.416080000000002,12.600000000000001,0.004144,4.173008,484.3243243243243,Laminar indicator,256.0,6.4,1.827382052370825,24.03007398867635,0.9035711248887358,0.13555995578379995,3.2575157673864075,0.7806157494513327,0.5418761650608385,0.01646090534979424,0.03,0.4422325795157751,0.48869348486556935,147.17337121639235,-62.173371216392354,84.90882356324263,101.68329416095057,59.908823563242635,76.68329416095057,2.368,9.92385306122449,FAIL
teertstra,2,35,2,100,80.0,1.0,26,25,76.00000000000001,3.7837837837837838,0.0017500000000000003,0.18200000000000002,0.005000000000000001,0.18700000000000003,7.416080000000002,12.600000000000001,0.004144,4.173008,484.3243243243243,Laminar indicator,256.0,5.12,1.5544368508960673,20.440844589283284,0.9165356432854184,0.17180948707794616,3.511931024324772,0.8415826244102029,0.5689721718158653,0.01646090534979424,0.03,0.4211722578420284,0.46763316319182263,141.90829079795566,-56.90829079795566,84.90882356324263,101.68329416095057,59.908823563242635,76.68329416095057,2.368,12.40481632653061,FAIL
teertstra,2,35,2,120,80.0,1.0,26,25,76.00000000000001,3.7837837837837838,0.0017500000000000003,0.21840000000000004,0.006,0.22440000000000004,7.416080000000002,12.600000000000001,0.004144,4.173008,484.3243243243243,Laminar indicator,256.0,4.266666666666667,1.3475443580222717,17.72020830799287,0.9266694116159927,0.20838459949693286,3.6926185112633165,0.8848817235105507,0.5872370094504782,0.01646090534979424,0.03,0.4080725335707558,0.45453343892055004,138.6333597301375,-53.6333597301375,84.90882356324263,101.68329416095057,59.908823563242635,76.68329416095057,2.368,14.885779591836734,FAIL
teertstra,2,35,2,150,80.0,1.0,26,25,76.00000000000001,3.7837837837837838,0.0017500000000000003,0.273,0.0075,0.2805,7.416080000000002,12.600000000000001,0.004144,4.173008,484.3243243243243,Laminar indicator,256.0,3.4133333333333336,1.1183281237586926,14.706014827426808,0.9382200696726458,0.26363407902063235,3.87700667509243,0.9290676354065053,0.6050782501717987,0.01646090534979424,0.03,0.3960401719693797,0.44250107731917393,135.62526932979347,-50.62526932979347,84.90882356324263,101.68329416095057,59.908823563242635,76.68329416095057,2.368,18.607224489795914,FAIL
teertstra,2,35,3,80,80.0,1.0,20,19,77.0,5.526315789473684,0.0019950000000000002,0.11200000000000002,0.004560000000000001,0.11656000000000001,8.454331200000002,14.364000000000003,0.004724160000000001,4.757229120000001,707.3684210526314,Laminar indicator,384.0,14.400000000000002,2.9325237815997127,25.70845848535748,0.8976605452139028,0.10509798106395712,2.701907083077628,0.5679581569276251,0.4333186674258409,0.01646090534979424,0.03,0.4851081069649351,0.5315690123147293,157.89225307868233,-72.89225307868233,77.55159961687949,92.26604750960576,52.551599616879486,67.26604750960576,2.368,4.652234013605443,FAIL
teertstra,2,35,3,100,80.0,1.0,20,19,77.0,5.526315789473684,0.0019950000000000002,0.14,0.0057,0.14570000000000002,8.454331200000002,14.364000000000003,0.004724160000000001,4.757229120000001,707.3684210526314,Laminar indicator,384.0,11.520000000000001,2.614213655223488,22.917939710792574,0.9075402613716991,0.1327556365920379,3.042485675684213,0.6395499562745913,0.47247021790331023,0.01646090534979424,0.03,0.44490930962877356,0.4913702149785678,147.84255374464195,-62.84255374464195,77.55159961687949,92.26604750960576,52.551599616879486,67.26604750960576,2.368,5.815292517006804,FAIL
teertstra,2,35,3,120,80.0,1.0,20,19,77.0,5.526315789473684,0.0019950000000000002,0.168,0.00684,0.17484000000000002,8.454331200000002,14.364000000000003,0.004724160000000001,4.757229120000001,707.3684210526314,Laminar indicator,384.0,9.600000000000001,2.362079846022996,20.707566650134932,0.9155566299689429,0.16065351383478244,3.326743345312132,0.6993027372438457,0.5030683250291746,0.01646090534979424,0.03,0.417848606261043,0.4643095116108372,141.07737790270932,-56.077377902709316,77.55159961687949,92.26604750960576,52.551599616879486,67.26604750960576,2.368,6.978351020408165,FAIL
teertstra,2,35,3,150,80.0,1.0,20,19,77.0,5.526315789473684,0.0019950000000000002,0.21000000000000002,0.00855,0.21855000000000002,8.454331200000002,14.364000000000003,0.004724160000000001,4.757229120000001,707.3684210526314,Laminar indicator,384.0,7.6800000000000015,2.062792085258952,18.083810614103477,0.9252993080780243,0.20286285469638513,3.6685334449658207,0.7711492031239017,0.5375187221271394,0.01646090534979424,0.03,0.3910680499381709,0.43752895528796515,134.38223882199128,-49.38223882199128,77.55159961687949,92.26604750960576,52.551599616879486,67.26604750960576,2.368,8.722938775510205,FAIL
teertstra,2,35,4,80,80.0,1.0,16,15,76.0,7.179487179487179,0.0021000000000000003,0.08960000000000001,0.0048,0.09440000000000001,8.899296000000001,15.120000000000003,0.0049728,5.0076096,918.9743589743589,Laminar indicator,512.0,25.6,3.8280960169317804,25.169731311326455,0.8995474167325699,0.08539944853923827,2.149481173868078,0.42924296132591444,0.34899825828124775,0.01646090534979424,0.03,0.572197923071618,0.6186588284214122,179.66470710535305,-94.66470710535305,74.92401963603552,88.90274513412547,49.924019636035524,63.90274513412547,2.368,2.756424489795919,FAIL
teertstra,2,35,4,100,80.0,1.0,16,15,76.0,7.179487179487179,0.0021000000000000003,0.11200000000000002,0.006,0.11800000000000002,8.899296000000001,15.120000000000003,0.0049728,5.0076096,918.9743589743589,Laminar indicator,512.0,20.48,3.464477657314975,22.77894059684596,0.9080393333897172,0.10770040533964835,2.4533011354880814,0.4899146162448609,0.3873212952403462,0.01646090534979424,0.03,0.515582491843687,0.5620433971934812,165.5108492983703,-80.51084929837029,74.92401963603552,88.90274513412547,49.924019636035524,63.90274513412547,2.368,3.4455306122448985,FAIL
teertstra,2,35,4,120,80.0,1.0,16,15,76.0,7.179487179487179,0.0021000000000000003,0.13440000000000002,0.0072,0.14160000000000003,8.899296000000001,15.120000000000003,0.0049728,5.0076096,918.9743589743589,Laminar indicator,512.0,17.066666666666666,3.183764700763548,20.93325290752033,0.9147302258772572,0.13013974235790338,2.7242481400975276,0.5440216705586488,0.4195906627901249,0.01646090534979424,0.03,0.47593070164201456,0.5223916069918088,155.5979017479522,-70.59790174795219,74.92401963603552,88.90274513412547,49.924019636035524,63.90274513412547,2.368,4.134636734693878,FAIL
teertstra,2,35,4,150,80.0,1.0,16,15,76.0,7.179487179487179,0.0021000000000000003,0.168,0.009,0.17700000000000002,8.899296000000001,15.120000000000003,0.0049728,5.0076096,918.9743589743589,Laminar indicator,512.0,13.653333333333334,2.855485430269237,18.774816704020235,0.9227090190339969,0.1640151151977115,3.079353724525797,0.6149348632381,0.4593238879464724,0.01646090534979424,0.03,0.43476092531772226,0.4812218306675165,145.30545766687914,-60.305457666879136,74.92401963603552,88.90274513412547,49.924019636035524,63.90274513412547,2.368,5.168295918367347,FAIL
teertstra,2,35,5,80,80.0,1.0,13,12,73.0,8.75,0.0021000000000000003,0.0728,0.0048,0.0776,8.899296000000001,15.120000000000003,0.0049728,5.0076096,1120.0000000000002,Laminar indicator,640.0,40.0,4.645322165988838,24.43439459310129,0.9021385979706552,0.0704756899322637,1.7220308170259873,0.34388280129225474,0.29098798152728866,0.01646090534979424,0.03,0.6862691630630617,0.7327300684128559,208.18251710321397,-123.18251710321397,74.92401963603552,88.90274513412547,49.924019636035524,63.90274513412547,2.368,1.8557387755102037,FAIL
teertstra,2,35,5,100,80.0,1.0,13,12,73.0,8.75,0.0021000000000000003,0.09100000000000001,0.006,0.09700000000000002,8.899296000000001,15.120000000000003,0.0049728,5.0076096,1120.0000000000002,Laminar indicator,640.0,32.0,4.21957095519198,22.194943224309814,0.910143490083813,0.088823057597627,1.9714227203889316,0.39368538641449435,0.32543374943416326,0.01646090534979424,0.03,0.6136305127890294,0.6600914181388235,190.02285453470589,-105.02285453470589,74.92401963603552,88.90274513412547,49.924019636035524,63.90274513412547,2.368,2.3196734693877548,FAIL
