geometry,orientation,Ts_C,Tsur_C,epsilon,n_fins,n_channels,Lbar,Hbar,Fs,h_ch_W_m2K,Nu_ch,Ra_star,h_exp_W_m2K,Nu_exp,Ra_exp,A_channel_m2,A_exposed_m2,Q_conv_channel_W,Q_rad_channel_W,Q_conv_exposed_W,Q_rad_exposed_W,Q_total_W,status,emissivity_case,chip_power_W
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,100.0,25.0,0.85,27,26,40.0,12.5,0.06000597506063472,2.22989010093652,0.16957339170619928,4.070324103015601,10.317974591266305,9.807960638085842,99373.14704627934,0.10816,0.01016,18.08886849879705,4.182797153062304,7.862296638544924,5.624616970951731,35.758579261356005,FAIL,black_anodized_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,100.0,40.0,0.2,27,26,40.0,12.5,0.06000597506063472,1.8248990202961564,0.1387755908970461,3.3306823956780414,9.848404125990097,9.361600880218724,81315.48817573344,0.10816,0.01016,11.842864682113937,2.90009938289676,6.003587155203563,1.1259146358481518,21.872465856062412,FAIL,bare_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,100.0,40.0,0.5,27,26,40.0,12.5,0.06000597506063472,1.8248990202961564,0.1387755908970461,3.3306823956780414,9.848404125990097,9.361600880218724,81315.48817573344,0.10816,0.01016,11.842864682113937,3.39261535546053,6.003587155203563,2.8147865896203794,24.05385378239841,FAIL,treated_or_oxidized_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,100.0,40.0,0.85,27,26,40.0,12.5,0.06000597506063472,1.8248990202961564,0.1387755908970461,3.3306823956780414,9.848404125990097,9.361600880218724,81315.48817573344,0.10816,0.01016,11.842864682113937,3.55851044975864,6.003587155203563,4.785137202354645,26.190099489430782,FAIL,black_anodized_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,100.0,50.0,0.2,27,26,40.0,12.5,0.06000597506063472,1.5443062079354875,0.1174377344437633,2.8185141785077854,9.475021146477763,9.006674093610041,68811.38131122525,0.10816,0.01016,8.351607972515117,2.517709949437398,4.813310742410704,0.9774583924984717,16.66008705686169,FAIL,bare_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,100.0,50.0,0.5,27,26,40.0,12.5,0.06000597506063472,1.5443062079354875,0.1174377344437633,2.8185141785077854,9.475021146477763,9.006674093610041,68811.38131122525,0.10816,0.01016,8.351607972515117,2.9452857669054375,4.813310742410704,2.443645981246179,18.553850463077435,FAIL,treated_or_oxidized_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,100.0,50.0,0.85,27,26,40.0,12.5,0.06000597506063472,1.5443062079354875,0.1174377344437633,2.8185141785077854,9.475021146477763,9.006674093610041,68811.38131122525,0.10816,0.01016,8.351607972515117,3.0893069449176247,4.813310742410704,4.154198168118504,20.40842382796195,FAIL,black_anodized_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,120.0,25.0,0.2,27,26,40.0,12.5,0.06000597506063472,2.741296626039398,0.20846362175204547,5.0065830403330045,10.828071239984922,10.292843384016086,122231.03125813002,0.10816,0.01016,28.167371091880025,4.745273535045742,10.451254360833447,1.842272356499134,45.20617134425835,FAIL,bare_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,120.0,25.0,0.5,27,26,40.0,12.5,0.06000597506063472,2.741296626039398,0.20846362175204547,5.0065830403330045,10.828071239984922,10.292843384016086,122231.03125813002,0.10816,0.01016,28.167371091880025,5.551150403947986,10.451254360833447,4.605680891247835,48.775456747909296,FAIL,treated_or_oxidized_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,120.0,25.0,0.85,27,26,40.0,12.5,0.06000597506063472,2.741296626039398,0.20846362175204547,5.0065830403330045,10.828071239984922,10.292843384016086,122231.03125813002,0.10816,0.01016,28.167371091880025,5.822595446559053,10.451254360833447,7.829657515121318,52.27087841439384,FAIL,black_anodized_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,120.0,40.0,0.2,27,26,40.0,12.5,0.06000597506063472,2.360764685585358,0.17952583160344926,4.309580277556309,10.456078535298031,9.939238151423984,105214.36224502709,0.10816,0.01016,20.427224671432988,4.2364950704147315,8.498700633490241,1.6447477050645254,34.807168080402484,FAIL,bare_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,120.0,40.0,0.5,27,26,40.0,12.5,0.06000597506063472,2.360764685585358,0.17952583160344926,4.309580277556309,10.456078535298031,9.939238151423984,105214.36224502709,0.10816,0.01016,20.427224671432988,4.9559674795922355,8.498700633490241,4.111869262661314,37.99376204717678,FAIL,treated_or_oxidized_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,120.0,40.0,0.85,27,26,40.0,12.5,0.06000597506063472,2.360764685585358,0.17952583160344926,4.309580277556309,10.456078535298031,9.939238151423984,105214.36224502709,0.10816,0.01016,20.427224671432988,5.198308743255389,8.498700633490241,6.990177746524231,41.11441179470285,FAIL,black_anodized_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,120.0,50.0,0.2,27,26,40.0,12.5,0.06000597506063472,2.0969704924764834,0.15946543669022686,3.827477110907121,10.17142396020179,9.668653954564439,93444.26540300592,0.10816,0.01016,15.876582992637951,3.854105636955369,7.233916720495514,1.496291461714845,28.46089681180368,FAIL,bare_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,120.0,50.0,0.5,27,26,40.0,12.5,0.06000597506063472,2.0969704924764834,0.15946543669022686,3.827477110907121,10.17142396020179,9.668653954564439,93444.26540300592,0.10816,0.01016,15.876582992637951,4.508637891037144,7.233916720495514,3.7407286542871128,31.359866258457725,FAIL,treated_or_oxidized_aluminum,250.0
